Var2,condname,subjectname,metabolics_stance_avg
metabolics_combined_addbrev_r_TOTAL,welkexo,welk002,0.004291415374094949
metabolics_combined_addbrev_r_TOTAL,welkexo,welk003,0.007224373591899901
metabolics_combined_addbrev_r_TOTAL,welkexo,welk005,0.0040517742829317745
metabolics_combined_addbrev_r_TOTAL,welkexo,welk008,0.0073751077902684745
metabolics_combined_addbrev_r_TOTAL,welkexo,welk009,0.007192726864117425
metabolics_combined_addbrev_r_TOTAL,welkexo,welk010,0.0072514970121485
metabolics_combined_addbrev_r_TOTAL,welkexo,welk013,0.006951580098865651
metabolics_combined_addbrev_r_TOTAL,welknatural,welk002,0.007581855575668225
metabolics_combined_addbrev_r_TOTAL,welknatural,welk003,0.005150185981688525
metabolics_combined_addbrev_r_TOTAL,welknatural,welk005,0.00592559107574105
metabolics_combined_addbrev_r_TOTAL,welknatural,welk008,0.0061463332136653
metabolics_combined_addbrev_r_TOTAL,welknatural,welk009,0.00927908059507815
metabolics_combined_addbrev_r_TOTAL,welknatural,welk010,0.004751681647933925
metabolics_combined_addbrev_r_TOTAL,welknatural,welk013,0.010292037674131924
metabolics_combined_addlong_r_TOTAL,welkexo,welk002,0.008607233676953374
metabolics_combined_addlong_r_TOTAL,welkexo,welk003,0.01375148108904715
metabolics_combined_addlong_r_TOTAL,welkexo,welk005,0.024833586465542824
metabolics_combined_addlong_r_TOTAL,welkexo,welk008,0.0065119130265107
metabolics_combined_addlong_r_TOTAL,welkexo,welk009,0.025361256062559498
metabolics_combined_addlong_r_TOTAL,welkexo,welk010,0.029830811008608526
metabolics_combined_addlong_r_TOTAL,welkexo,welk013,0.03463329705252005
metabolics_combined_addlong_r_TOTAL,welknatural,welk002,0.0271829666050752
metabolics_combined_addlong_r_TOTAL,welknatural,welk003,0.013994648121965724
metabolics_combined_addlong_r_TOTAL,welknatural,welk005,0.06322762391940105
metabolics_combined_addlong_r_TOTAL,welknatural,welk008,0.01325717673265865
metabolics_combined_addlong_r_TOTAL,welknatural,welk009,0.0107095125908754
metabolics_combined_addlong_r_TOTAL,welknatural,welk010,0.0050143273307562
metabolics_combined_addlong_r_TOTAL,welknatural,welk013,0.02366290896845665
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk002,0.033914912511008526
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk003,0.03295380458518628
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk005,0.022373329321256723
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk008,0.03460320603858765
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk009,0.03434088568516527
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk010,0.035358348804622325
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk013,0.03637527434929727
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk002,0.051539621720607526
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk003,0.03307161550823508
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk005,0.029666026371661526
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk008,0.040311210777173374
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk009,0.03703739365709467
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk010,0.056491372298921476
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk013,0.04233995052896035
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk002,0.21177601610899177
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk003,0.1774720770600935
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk005,0.04303973560147485
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk008,0.07372576528572344
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk009,0.0777447217173534
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk010,0.08957341635718327
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk013,0.10470948618147045
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk002,0.2609414811719835
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk003,0.08687654376407128
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk005,0.07067009424812648
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk008,0.150606006288025
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk009,0.100101336709715
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk010,0.2241483342759225
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk013,0.162014623049783
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk002,0.0095237394382612
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk003,0.013743506238631775
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk005,0.010328727278500075
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk008,0.012934896989813925
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk009,0.01098072448670195
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk010,0.01251629245147035
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk013,0.011080051824231925
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk002,0.016204056784938324
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk003,0.008624651151495074
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk005,0.0113509640944005
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk008,0.019040551165048724
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk009,0.01150573377765075
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk010,0.012006029276572225
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk013,0.0229847299190147
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk002,0.00532401115906865
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk003,0.0054233413976749
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk005,0.00693978383706985
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk008,0.005831401572913749
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk009,0.006862087913040675
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk010,0.00355699689207145
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk013,0.010048954968436226
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk002,0.0089701604891215
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk003,0.00635917387099375
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk005,0.007865026874724776
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk008,0.0107068173352789
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk009,0.006222557535217675
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk010,0.0041632016875649
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk013,0.017094248705849874
metabolics_combined_bflh_r_TOTAL,welkexo,welk002,0.164043351260181
metabolics_combined_bflh_r_TOTAL,welkexo,welk003,0.17157348611454074
metabolics_combined_bflh_r_TOTAL,welkexo,welk005,0.08966984869159761
metabolics_combined_bflh_r_TOTAL,welkexo,welk008,0.0903464971183994
metabolics_combined_bflh_r_TOTAL,welkexo,welk009,0.18280925849057425
metabolics_combined_bflh_r_TOTAL,welkexo,welk010,0.0699096302009815
metabolics_combined_bflh_r_TOTAL,welkexo,welk013,0.10108234930044654
metabolics_combined_bflh_r_TOTAL,welknatural,welk002,0.22465487673776052
metabolics_combined_bflh_r_TOTAL,welknatural,welk003,0.20140142445697276
metabolics_combined_bflh_r_TOTAL,welknatural,welk005,0.16534099278379
metabolics_combined_bflh_r_TOTAL,welknatural,welk008,0.18847607647574674
metabolics_combined_bflh_r_TOTAL,welknatural,welk009,0.21676485267513151
metabolics_combined_bflh_r_TOTAL,welknatural,welk010,0.1748905981971156
metabolics_combined_bflh_r_TOTAL,welknatural,welk013,0.163551936824666
metabolics_combined_bfsh_r_TOTAL,welkexo,welk002,0.02733165327195785
metabolics_combined_bfsh_r_TOTAL,welkexo,welk003,0.0228943877936698
metabolics_combined_bfsh_r_TOTAL,welkexo,welk005,0.02750977609372305
metabolics_combined_bfsh_r_TOTAL,welkexo,welk008,0.044508812572093326
metabolics_combined_bfsh_r_TOTAL,welkexo,welk009,0.024512815118514227
metabolics_combined_bfsh_r_TOTAL,welkexo,welk010,0.01895938195577415
metabolics_combined_bfsh_r_TOTAL,welkexo,welk013,0.02165935848726765
metabolics_combined_bfsh_r_TOTAL,welknatural,welk002,0.028899072292454
metabolics_combined_bfsh_r_TOTAL,welknatural,welk003,0.015183948069612124
metabolics_combined_bfsh_r_TOTAL,welknatural,welk005,0.04012337860441645
metabolics_combined_bfsh_r_TOTAL,welknatural,welk008,0.019989137275230124
metabolics_combined_bfsh_r_TOTAL,welknatural,welk009,0.0196799428588305
metabolics_combined_bfsh_r_TOTAL,welknatural,welk010,0.02122635538266635
metabolics_combined_bfsh_r_TOTAL,welknatural,welk013,0.018008878427804024
metabolics_combined_edl_r_TOTAL,welkexo,welk002,0.08686998992619782
metabolics_combined_edl_r_TOTAL,welkexo,welk003,0.03447237692708523
metabolics_combined_edl_r_TOTAL,welkexo,welk005,0.08015746430375473
metabolics_combined_edl_r_TOTAL,welkexo,welk008,0.12174242892160475
metabolics_combined_edl_r_TOTAL,welkexo,welk009,0.07943623645422263
metabolics_combined_edl_r_TOTAL,welkexo,welk010,0.08036127593131454
metabolics_combined_edl_r_TOTAL,welkexo,welk013,0.046122183607620625
metabolics_combined_edl_r_TOTAL,welknatural,welk002,0.0928924073072564
metabolics_combined_edl_r_TOTAL,welknatural,welk003,0.04506961090989585
metabolics_combined_edl_r_TOTAL,welknatural,welk005,0.14869513162283524
metabolics_combined_edl_r_TOTAL,welknatural,welk008,0.08084274006917945
metabolics_combined_edl_r_TOTAL,welknatural,welk009,0.10064473241415528
metabolics_combined_edl_r_TOTAL,welknatural,welk010,0.062404222807302304
metabolics_combined_edl_r_TOTAL,welknatural,welk013,0.07796895072454241
metabolics_combined_ehl_r_TOTAL,welkexo,welk002,0.0400427338782892
metabolics_combined_ehl_r_TOTAL,welkexo,welk003,0.011662024482003375
metabolics_combined_ehl_r_TOTAL,welkexo,welk005,0.027033332354163248
metabolics_combined_ehl_r_TOTAL,welkexo,welk008,0.03256799862799715
metabolics_combined_ehl_r_TOTAL,welkexo,welk009,0.028691140309988525
metabolics_combined_ehl_r_TOTAL,welkexo,welk010,0.022020124073527075
metabolics_combined_ehl_r_TOTAL,welkexo,welk013,0.016542175588616276
metabolics_combined_ehl_r_TOTAL,welknatural,welk002,0.048023930010872476
metabolics_combined_ehl_r_TOTAL,welknatural,welk003,0.012767716760395426
metabolics_combined_ehl_r_TOTAL,welknatural,welk005,0.042921000104398026
metabolics_combined_ehl_r_TOTAL,welknatural,welk008,0.025539169824622076
metabolics_combined_ehl_r_TOTAL,welknatural,welk009,0.03322362544122363
metabolics_combined_ehl_r_TOTAL,welknatural,welk010,0.024514888414436074
metabolics_combined_ehl_r_TOTAL,welknatural,welk013,0.0267821158412526
metabolics_combined_fdl_r_TOTAL,welkexo,welk002,0.02317013658589085
metabolics_combined_fdl_r_TOTAL,welkexo,welk003,0.026126967266099626
metabolics_combined_fdl_r_TOTAL,welkexo,welk005,0.0097774149841518
metabolics_combined_fdl_r_TOTAL,welkexo,welk008,0.018031633378469174
metabolics_combined_fdl_r_TOTAL,welkexo,welk009,0.034312482178919954
metabolics_combined_fdl_r_TOTAL,welkexo,welk010,0.02573710235783845
metabolics_combined_fdl_r_TOTAL,welkexo,welk013,0.009988092203999375
metabolics_combined_fdl_r_TOTAL,welknatural,welk002,0.025589264601151275
metabolics_combined_fdl_r_TOTAL,welknatural,welk003,0.029886663273366174
metabolics_combined_fdl_r_TOTAL,welknatural,welk005,0.013361402902929975
metabolics_combined_fdl_r_TOTAL,welknatural,welk008,0.0149939780330221
metabolics_combined_fdl_r_TOTAL,welknatural,welk009,0.021305094590456028
metabolics_combined_fdl_r_TOTAL,welknatural,welk010,0.038292994804119004
metabolics_combined_fdl_r_TOTAL,welknatural,welk013,0.025274993591447976
metabolics_combined_fhl_r_TOTAL,welkexo,welk002,0.10841879243267084
metabolics_combined_fhl_r_TOTAL,welkexo,welk003,0.11453536551089567
metabolics_combined_fhl_r_TOTAL,welkexo,welk005,0.03836256217983855
metabolics_combined_fhl_r_TOTAL,welkexo,welk008,0.031201807959434502
metabolics_combined_fhl_r_TOTAL,welkexo,welk009,0.08210802023659361
metabolics_combined_fhl_r_TOTAL,welkexo,welk010,0.1040999542785302
metabolics_combined_fhl_r_TOTAL,welkexo,welk013,0.038370319416307426
metabolics_combined_fhl_r_TOTAL,welknatural,welk002,0.12059185651050097
metabolics_combined_fhl_r_TOTAL,welknatural,welk003,0.12445916240191088
metabolics_combined_fhl_r_TOTAL,welknatural,welk005,0.0285128066042101
metabolics_combined_fhl_r_TOTAL,welknatural,welk008,0.0431120881876743
metabolics_combined_fhl_r_TOTAL,welknatural,welk009,0.08117043920789146
metabolics_combined_fhl_r_TOTAL,welknatural,welk010,0.162694376495907
metabolics_combined_fhl_r_TOTAL,welknatural,welk013,0.07078295941529593
metabolics_combined_gaslat_r_TOTAL,welkexo,welk002,0.22711817513757177
metabolics_combined_gaslat_r_TOTAL,welkexo,welk003,0.21514435149821476
metabolics_combined_gaslat_r_TOTAL,welkexo,welk005,0.14979337417848076
metabolics_combined_gaslat_r_TOTAL,welkexo,welk008,0.245132869387087
metabolics_combined_gaslat_r_TOTAL,welkexo,welk009,0.2088715211852935
metabolics_combined_gaslat_r_TOTAL,welkexo,welk010,0.4937970195550433
metabolics_combined_gaslat_r_TOTAL,welkexo,welk013,0.139947386262807
metabolics_combined_gaslat_r_TOTAL,welknatural,welk002,0.2489873250904045
metabolics_combined_gaslat_r_TOTAL,welknatural,welk003,0.31783992660883276
metabolics_combined_gaslat_r_TOTAL,welknatural,welk005,0.14255697505533027
metabolics_combined_gaslat_r_TOTAL,welknatural,welk008,0.19036482571190674
metabolics_combined_gaslat_r_TOTAL,welknatural,welk009,0.36981037844592973
metabolics_combined_gaslat_r_TOTAL,welknatural,welk010,0.399090986395531
metabolics_combined_gaslat_r_TOTAL,welknatural,welk013,0.24034466331417276
metabolics_combined_gasmed_r_TOTAL,welkexo,welk002,0.525084664446617
metabolics_combined_gasmed_r_TOTAL,welkexo,welk003,0.44770758622751927
metabolics_combined_gasmed_r_TOTAL,welkexo,welk005,0.5605698402787712
metabolics_combined_gasmed_r_TOTAL,welkexo,welk008,0.4389601644871835
metabolics_combined_gasmed_r_TOTAL,welkexo,welk009,0.733022188084835
metabolics_combined_gasmed_r_TOTAL,welkexo,welk010,1.130495073843799
metabolics_combined_gasmed_r_TOTAL,welkexo,welk013,0.558746502439886
metabolics_combined_gasmed_r_TOTAL,welknatural,welk002,0.40259330707803176
metabolics_combined_gasmed_r_TOTAL,welknatural,welk003,0.593681710962622
metabolics_combined_gasmed_r_TOTAL,welknatural,welk005,0.5622530538193498
metabolics_combined_gasmed_r_TOTAL,welknatural,welk008,0.4718103802899765
metabolics_combined_gasmed_r_TOTAL,welknatural,welk009,0.857452121423676
metabolics_combined_gasmed_r_TOTAL,welknatural,welk010,0.6921086099093697
metabolics_combined_gasmed_r_TOTAL,welknatural,welk013,0.8377723889240527
metabolics_combined_glmax1_r_TOTAL,welkexo,welk002,0.0697224882222158
metabolics_combined_glmax1_r_TOTAL,welkexo,welk003,0.04505286531826675
metabolics_combined_glmax1_r_TOTAL,welkexo,welk005,0.19212512664889325
metabolics_combined_glmax1_r_TOTAL,welkexo,welk008,0.05961770938161
metabolics_combined_glmax1_r_TOTAL,welkexo,welk009,0.2915119107868195
metabolics_combined_glmax1_r_TOTAL,welkexo,welk010,0.1536134713378805
metabolics_combined_glmax1_r_TOTAL,welkexo,welk013,0.22065099522913525
metabolics_combined_glmax1_r_TOTAL,welknatural,welk002,0.06597458615881735
metabolics_combined_glmax1_r_TOTAL,welknatural,welk003,0.0850025536792951
metabolics_combined_glmax1_r_TOTAL,welknatural,welk005,0.2237992993892255
metabolics_combined_glmax1_r_TOTAL,welknatural,welk008,0.06213544640456225
metabolics_combined_glmax1_r_TOTAL,welknatural,welk009,0.3831338745918715
metabolics_combined_glmax1_r_TOTAL,welknatural,welk010,0.224309807448675
metabolics_combined_glmax1_r_TOTAL,welknatural,welk013,0.3096513068765595
metabolics_combined_glmax2_r_TOTAL,welkexo,welk002,0.12415735649851165
metabolics_combined_glmax2_r_TOTAL,welkexo,welk003,0.096132162979254
metabolics_combined_glmax2_r_TOTAL,welkexo,welk005,0.2784363216083823
metabolics_combined_glmax2_r_TOTAL,welkexo,welk008,0.10943898372833995
metabolics_combined_glmax2_r_TOTAL,welkexo,welk009,0.44831753643154826
metabolics_combined_glmax2_r_TOTAL,welkexo,welk010,0.281884164241053
metabolics_combined_glmax2_r_TOTAL,welkexo,welk013,0.3799854363144395
metabolics_combined_glmax2_r_TOTAL,welknatural,welk002,0.17182701332518252
metabolics_combined_glmax2_r_TOTAL,welknatural,welk003,0.160267389848323
metabolics_combined_glmax2_r_TOTAL,welknatural,welk005,0.37180159034599347
metabolics_combined_glmax2_r_TOTAL,welknatural,welk008,0.14081147479606174
metabolics_combined_glmax2_r_TOTAL,welknatural,welk009,0.6949925615011475
metabolics_combined_glmax2_r_TOTAL,welknatural,welk010,0.40146451767639074
metabolics_combined_glmax2_r_TOTAL,welknatural,welk013,0.3828617537051865
metabolics_combined_glmax3_r_TOTAL,welkexo,welk002,0.05244936961898422
metabolics_combined_glmax3_r_TOTAL,welkexo,welk003,0.07290895205745145
metabolics_combined_glmax3_r_TOTAL,welkexo,welk005,0.05726729752532572
metabolics_combined_glmax3_r_TOTAL,welkexo,welk008,0.1214138077961585
metabolics_combined_glmax3_r_TOTAL,welkexo,welk009,0.0824064640389104
metabolics_combined_glmax3_r_TOTAL,welkexo,welk010,0.154491834566594
metabolics_combined_glmax3_r_TOTAL,welkexo,welk013,0.09354452585169402
metabolics_combined_glmax3_r_TOTAL,welknatural,welk002,0.10490826975250853
metabolics_combined_glmax3_r_TOTAL,welknatural,welk003,0.0916725747107468
metabolics_combined_glmax3_r_TOTAL,welknatural,welk005,0.07407136727281485
metabolics_combined_glmax3_r_TOTAL,welknatural,welk008,0.11669626860847432
metabolics_combined_glmax3_r_TOTAL,welknatural,welk009,0.14090371302512375
metabolics_combined_glmax3_r_TOTAL,welknatural,welk010,0.11654523285472976
metabolics_combined_glmax3_r_TOTAL,welknatural,welk013,0.09640297001219653
metabolics_combined_glmed1_r_TOTAL,welkexo,welk002,0.5066198535107704
metabolics_combined_glmed1_r_TOTAL,welkexo,welk003,0.5194368648508043
metabolics_combined_glmed1_r_TOTAL,welkexo,welk005,0.6082267723401462
metabolics_combined_glmed1_r_TOTAL,welkexo,welk008,0.5784064048275562
metabolics_combined_glmed1_r_TOTAL,welkexo,welk009,0.386370603386362
metabolics_combined_glmed1_r_TOTAL,welkexo,welk010,0.7898357252335393
metabolics_combined_glmed1_r_TOTAL,welkexo,welk013,0.7897139790469805
metabolics_combined_glmed1_r_TOTAL,welknatural,welk002,0.600200697226829
metabolics_combined_glmed1_r_TOTAL,welknatural,welk003,0.5963599898799308
metabolics_combined_glmed1_r_TOTAL,welknatural,welk005,0.605960257178663
metabolics_combined_glmed1_r_TOTAL,welknatural,welk008,0.7092070067432847
metabolics_combined_glmed1_r_TOTAL,welknatural,welk009,0.4360506901778495
metabolics_combined_glmed1_r_TOTAL,welknatural,welk010,0.8576017426114213
metabolics_combined_glmed1_r_TOTAL,welknatural,welk013,0.9209870851694962
metabolics_combined_glmed2_r_TOTAL,welkexo,welk002,0.24932263660697374
metabolics_combined_glmed2_r_TOTAL,welkexo,welk003,0.3318157351221795
metabolics_combined_glmed2_r_TOTAL,welkexo,welk005,0.353584952604737
metabolics_combined_glmed2_r_TOTAL,welkexo,welk008,0.25124041669108826
metabolics_combined_glmed2_r_TOTAL,welkexo,welk009,0.21284698146116
metabolics_combined_glmed2_r_TOTAL,welkexo,welk010,0.25497760238441647
metabolics_combined_glmed2_r_TOTAL,welkexo,welk013,0.4159247369735785
metabolics_combined_glmed2_r_TOTAL,welknatural,welk002,0.44122410331647227
metabolics_combined_glmed2_r_TOTAL,welknatural,welk003,0.407220196831951
metabolics_combined_glmed2_r_TOTAL,welknatural,welk005,0.4193863486857845
metabolics_combined_glmed2_r_TOTAL,welknatural,welk008,0.357665166242027
metabolics_combined_glmed2_r_TOTAL,welknatural,welk009,0.239512978514492
metabolics_combined_glmed2_r_TOTAL,welknatural,welk010,0.357005589091736
metabolics_combined_glmed2_r_TOTAL,welknatural,welk013,0.501677183964883
metabolics_combined_glmed3_r_TOTAL,welkexo,welk002,0.07124524029953938
metabolics_combined_glmed3_r_TOTAL,welkexo,welk003,0.052541348857957575
metabolics_combined_glmed3_r_TOTAL,welkexo,welk005,0.205786427664762
metabolics_combined_glmed3_r_TOTAL,welkexo,welk008,0.12102778275628451
metabolics_combined_glmed3_r_TOTAL,welkexo,welk009,0.1971054641396365
metabolics_combined_glmed3_r_TOTAL,welkexo,welk010,0.181214248449198
metabolics_combined_glmed3_r_TOTAL,welkexo,welk013,0.2808453142697618
metabolics_combined_glmed3_r_TOTAL,welknatural,welk002,0.07391451170588965
metabolics_combined_glmed3_r_TOTAL,welknatural,welk003,0.0790275810498262
metabolics_combined_glmed3_r_TOTAL,welknatural,welk005,0.21464765144623024
metabolics_combined_glmed3_r_TOTAL,welknatural,welk008,0.11103492549284642
metabolics_combined_glmed3_r_TOTAL,welknatural,welk009,0.242249636486138
metabolics_combined_glmed3_r_TOTAL,welknatural,welk010,0.22578142975084475
